,initial_temp,cooling_multiple,temp_length,num_non_improve
41,100,0.993,1000,3000
64,100,0.995,1000,2000
68,100,0.995,10000,3000
127,1000,0.991,10000,2000
152,1000,0.993,10000,3000
188,1000,0.996,10000,3000
189,1000,0.996,100000,1000
212,1000,0.998,10000,3000
215,1000,0.998,100000,3000
249,100000,0.992,100000,1000
294,100000,0.996,10000,1000
296,100000,0.996,10000,3000
299,100000,0.996,100000,3000
308,100000,0.997,10000,3000
311,100000,0.997,100000,3000
320,100000,0.998,10000,3000
333,1000000,0.99,100000,1000
380,1000000,0.994,10000,3000
382,1000000,0.994,100000,2000
395,1000000,0.995,100000,3000
486,10000000,0.994,10000,1000
511,10000000,0.996,10000,2000
513,10000000,0.996,100000,1000
515,10000000,0.996,100000,3000
587,100000000,0.993,100000,3000
606,100000000,0.995,10000,1000
635,100000000,0.997,100000,3000
