initial_temp,cooling_multiple,temp_length,num_non_improve,time_taken,kemeny_score
100,0.99,100,1000,0.10797286033630371,153.0
100,0.99,100,2000,0.10588908195495605,129.0
100,0.99,100,3000,0.1057438850402832,169.0
100,0.99,1000,1000,1.0536103248596191,77.0
100,0.99,1000,2000,1.0238006114959717,73.0
100,0.99,1000,3000,1.020249843597412,73.0
100,0.99,10000,1000,1.5372498035430908,65.0
100,0.99,10000,2000,2.6201908588409424,69.0
100,0.99,10000,3000,3.5790321826934814,66.0
100,0.99,100000,1000,1.5573949813842773,71.0
100,0.99,100000,2000,2.590157985687256,68.0
100,0.99,100000,3000,3.1978843212127686,65.0
100,0.991,100,1000,0.10280108451843262,132.0
100,0.991,100,2000,0.10370588302612305,125.0
100,0.991,100,3000,0.10233306884765625,161.0
100,0.991,1000,1000,1.1140859127044678,68.0
100,0.991,1000,2000,1.123805046081543,68.0
100,0.991,1000,3000,1.100510835647583,64.0
100,0.991,10000,1000,1.7050070762634277,72.0
100,0.991,10000,2000,2.667038917541504,67.0
100,0.991,10000,3000,3.261225938796997,72.0
100,0.991,100000,1000,1.2017691135406494,65.0
100,0.991,100000,2000,2.7373039722442627,70.0
100,0.991,100000,3000,3.357328176498413,80.0
100,0.992,100,1000,0.10649704933166504,143.0
100,0.992,100,2000,0.11303901672363281,145.0
100,0.992,100,3000,0.10202336311340332,129.0
100,0.992,1000,1000,1.0263957977294922,65.0
100,0.992,1000,2000,1.0405828952789307,65.0
100,0.992,1000,3000,1.6788873672485352,66.0
100,0.992,10000,1000,1.22182297706604,64.0
100,0.992,10000,2000,2.7956812381744385,69.0
100,0.992,10000,3000,3.786456823348999,73.0
100,0.992,100000,1000,1.6461210250854492,66.0
100,0.992,100000,2000,2.730234146118164,64.0
100,0.992,100000,3000,3.295135974884033,71.0
100,0.993,100,1000,0.10483574867248535,173.0
100,0.993,100,2000,0.10152602195739746,124.0
100,0.993,100,3000,0.10205698013305664,146.0
100,0.993,1000,1000,1.0479381084442139,67.0
100,0.993,1000,2000,1.0291938781738281,69.0
100,0.993,1000,3000,1.0186569690704346,63.0
100,0.993,10000,1000,1.8251540660858154,72.0
100,0.993,10000,2000,2.2823309898376465,68.0
100,0.993,10000,3000,3.3271307945251465,65.0
100,0.993,100000,1000,1.2524900436401367,75.0
